0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.21
0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.28
0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.26
0.0,0.01,0.01,0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.15
0.01,0.01,0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.19
0.01,0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.08
0.0,0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.04
0.01,0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.05
0.01,0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.0
0.04,0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.05
0.11,0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.03
0.09,0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.04
0.06,0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.03
0.03,0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01
0.03,0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.01
0.04,0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0
0.03,0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0
0.09,0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.0
0.1,0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.01
0.1,0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0
0.18,0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.19,0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
0.34,0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
0.25,0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
0.21,0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.28,0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01
0.26,0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
0.15,0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.19,0.08,0.04,0.05,0.0,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
