0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28
2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04
2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11
2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18
2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25
2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04
2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11
2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18
2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25
2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01
2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08
2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15
2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22
2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29
2012-11-12,2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29,2013-05-06
2012-11-19,2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29,2013-05-06,2013-05-13
2012-11-26,2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29,2013-05-06,2013-05-13,2013-05-20
2012-12-03,2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29,2013-05-06,2013-05-13,2013-05-20,2013-05-27
2012-12-10,2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29,2013-05-06,2013-05-13,2013-05-20,2013-05-27,2013-06-03
2012-12-17,2012-12-24,2012-12-31,2013-01-07,2013-01-14,2013-01-21,2013-01-28,2013-02-04,2013-02-11,2013-02-18,2013-02-25,2013-03-04,2013-03-11,2013-03-18,2013-03-25,2013-04-01,2013-04-08,2013-04-15,2013-04-22,2013-04-29,2013-05-06,2013-05-13,2013-05-20,2013-05-27,2013-06-03,2013-06-10
